teryt6,name,population,area_km2,lat,lng
121805,Mucharz,4122,37.283,49.817835,19.533482
121806,Spytkowice,10365,51.421,49.986477,19.521223
121807,Stryszów,6865,45.912,49.819452,19.619482
121808,Tomice,8174,41.545,49.916715,19.483262
121809,Wadowice,37888,112.824,49.878973,19.495216
121810,Wieprz,12432,74.441,49.882135,19.361659
120201,Borzęcin,8337,102.782,50.048699,20.704817
120202,Brzesko,36291,102.654,49.973927,20.606705
120203,Czchów,9828,66.426,49.849015,20.675719
120204,Dębno,14746,81.596,49.95627,20.715319
120205,Gnojnik,8029,55.006,49.901098,20.611128
120206,Iwkowa,6483,47.198,49.809494,20.582799
120207,Szczurowa,9487,134.924,50.120632,20.625273
120401,Bolesław,2607,35.69,50.270905,20.882958
120402,Dąbrowa Tarnowska,21256,116.435,50.173732,20.989082
120403,Gręboszów,3333,48.51,50.247478,20.792485
120404,Mędrzechów,3433,44.397,50.278326,20.962158
120405,Olesno,7966,77.614,50.20801,20.924262
120406,Radgoszcz,7424,88.137,50.19281,21.107628
120407,Szczucin,13155,119.474,50.307061,21.082881
121601,Ciężkowice,11209,103.384,49.780933,20.953851
121602,Gromnik,8922,69.757,49.839525,20.955449
121603,Lisia Góra,15402,104.737,50.081586,21.040374
121604,Pleśna,11944,83.068,49.931117,20.936134
121605,Radłów,9666,86.178,50.100802,20.842301
121606,Ryglice,11652,117.094,49.902906,21.155088
121607,Rzepiennik Strzyżewski,6738,70.697,49.793597,21.093761
121608,Skrzyszów,14303,86.028,49.989132,21.088259
121609,Tarnów,26202,82.709,49.979507,20.943522
121610,Tuchów,17916,99.854,49.89262,21.051045
121611,Wierzchosławice,10857,75.054,50.017216,20.866302
121612,Wietrzychowice,3938,48.414,50.180925,20.752961
121613,Wojnicz,13443,79.293,49.955155,20.826165
121614,Zakliczyn,12488,122.062,49.850306,20.798519
121615,Żabno,18874,101.56,50.122878,20.892642
121616,Szerzyny,7943,82.014,49.811722,21.221526
126301,Tarnów,108470,72.369,50.017254,20.993141
121101,Nowy Targ,33293,51.059,49.47454,20.02999
121102,Szczawnica,7204,87.907,49.422239,20.490521
121103,Czarny Dunajec,22626,217.35,49.432608,19.851457
121104,Czorsztyn,7663,62.078,49.451801,20.294851
121105,Jabłonka,18664,212.707,49.513086,19.678661
121106,Krościenko nad Dunajcem,6802,57.17,49.44302,20.403108
121107,Lipnica Wielka,6015,67.386,49.499073,19.604443
121108,Łapsze Niżne,9379,125.808,49.414145,20.242898
121109,Nowy Targ,24070,207.748,49.473398,20.066265
121110,Ochotnica Dolna,8513,141.179,49.511652,20.350679
121111,Raba Wyżna,14750,89.007,49.574602,19.892888
121112,Rabka-Zdrój,17091,69.169,49.605648,19.962405
121113,Spytkowice,4609,32.211,49.577362,19.822175
121114,Szaflary,11103,54.29,49.422313,20.007082
121501,Jordanów,5366,21.03,49.651491,19.835671
121502,Sucha Beskidzka,9088,27.659,49.738467,19.589466
121503,Budzów,8945,73.559,49.778353,19.707663
121504,Bystra-Sidzina,6920,80.52,49.627549,19.753828
121505,Jordanów,11180,92.48,49.677662,19.829205
121506,Maków Podhalański,16077,108.658,49.723158,19.678757
121507,Stryszawa,11940,113.781,49.727993,19.499591
121508,Zawoja,9086,128.75,49.662517,19.581895
121509,Zembrzyce,5630,39.184,49.775901,19.591879
121701,Zakopane,27010,84.269,49.295778,19.958107
121702,Biały Dunajec,7179,35.207,49.369222,20.00769
121703,Bukowina Tatrzańska,13387,131.901,49.36697,20.107359
121704,Kościelisko,8846,136.658,49.307696,19.876763
121705,Poronin,11650,83.604,49.331597,19.993376
240201,Szczyrk,5751,39.058,49.714329,19.017928
240202,Bestwina,11909,37.707,49.912141,19.057358
240203,Buczkowice,11227,19.414,49.726714,19.081516
240204,Czechowice-Dziedzice,45489,66.483,49.915678,19.001646
240205,Jasienica,24419,91.658,49.829488,18.928012
240206,Jaworze,7395,21.234,49.793991,18.949437
240207,Kozy,13024,26.674,49.845718,19.14297
240208,Porąbka,15630,64.526,49.84444,19.228713
240209,Wilamowice,17695,56.784,49.904661,19.143056
240210,Wilkowice,13421,34.488,49.759123,19.084542
240301,Cieszyn,34424,28.584,49.750265,18.637153
240302,Ustroń,16067,59.028,49.72473,18.808041
240303,Wisła,11096,110.159,49.644066,18.872461
240304,Brenna,11285,95.627,49.75099,18.882163
240305,Chybie,9825,31.749,49.89177,18.812919
240306,Dębowiec,5833,42.658,49.797703,18.72723
240307,Goleszów,13142,65.879,49.733223,18.736508
240308,Hażlach,10915,48.781,49.807793,18.612053
240309,Istebna,12159,84.34,49.55351,18.905763
240310,Skoczów,26910,63.538,49.799232,18.788051
240311,Strumień,13272,58.517,49.90548,18.749546
240312,Zebrzydowice,13263,41.415,49.863428,18.610067
241701,Żywiec,31091,50.487,49.684123,19.206469
241702,Czernichów,6740,56.282,49.772381,19.19844
241703,Gilowice,6251,28.098,49.709524,19.303059
241704,Jeleśnia,13275,170.89,49.627073,19.329248
241705,Koszarawa,2367,31.408,49.65237,19.408657
241706,Lipowa,10846,58.718,49.6771,19.117012
241707,Łękawica,4552,42.725,49.728246,19.264935
241708,Łodygowice,14567,35.897,49.718886,19.149708
241709,Milówka,10067,98.45,49.559937,19.076726
241710,Radziechowy-Wieprz,13079,64.881,49.641432,19.161227
241711,Rajcza,8810,131.728,49.497121,19.080746
241712,Ślemień,3531,44.958,49.721661,19.374678
241713,Świnna,8070,39.156,49.664705,19.265399
241714,Ujsoły,4430,109.901,49.481272,19.140817
241715,Węgierska Górka,15080,76.502,49.60202,19.124601
246101,Bielsko-Biała,170663,124.431,49.81325,19.0384
240701,Lubliniec,23757,89.36,50.669388,18.682988
240702,Boronów,3436,57.469,50.672731,18.90752
240703,Ciasna,7454,134.017,50.768782,18.61442
240704,Herby,6797,85.886,50.735172,18.845644
240705,Kochanowice,6938,79.944,50.705263,18.71354
240706,Koszęcin,11815,128.876,50.631386,18.842554
240707,Pawonków,6635,119.031,50.692415,18.568991
240708,Woźniki,9619,127.576,50.598878,19.031588
241301,Kalety,8589,76.384,50.56171,18.887852
241302,Miasteczko Śląskie,7442,67.94,50.490282,18.916057
241303,Radzionków,16873,13.219,50.397339,18.9005
241304,Tarnowskie Góry,61686,83.799,50.445584,18.844039
241305,Krupski Młyn,3185,39.151,50.571646,18.639016
241306,Ożarowice,5795,45.561,50.467482,19.055033
241307,Świerklaniec,12401,44.697,50.439709,18.918221
241308,Tworóg,8287,125.262,50.524131,18.729591
241309,Zbrosławice,16261,148.22,50.390335,18.760832
246201,Bytom,165263,69.482,50.353534,18.899602
247101,Piekary Śląskie,55030,39.875,50.382997,18.957584
240401,Blachownia,12930,66.605,50.782204,18.968925
240402,Dąbrowa Zielona,3860,100.178,50.849405,19.570673
240403,Janów,5984,146.446,50.721199,19.438877
240404,Kamienica Polska,5567,46.457,50.68198,19.143197
240405,Kłomnice,13471,147.682,50.909541,19.357791
240406,Koniecpol,9408,146.622,50.780807,19.692407
240407,Konopiska,10736,78.6,50.724984,19.006412
240408,Kruszyna,4806,93.302,50.971222,19.316611
240409,Lelów,4824,123.741,50.69558,19.627282
240410,Mstów,10834,119.521,50.826976,19.287421
240411,Mykanów,15104,141.549,50.911305,19.153703
240412,Olsztyn,7810,109.09,50.746729,19.274768
240413,Poczesna,12707,59.936,50.730856,19.139856
240414,Przyrów,3752,80.728,50.789746,19.520334
240415,Rędziny,9933,41.229,50.868551,19.22493
240416,Starcza,2829,20.118,50.66918,19.062581
240601,Kłobuck,20327,130.025,50.905992,18.94412
240602,Krzepice,9111,78.957,50.970761,18.717391
240603,Lipie,6224,99.047,51.022593,18.79111
240604,Miedźno,7548,112.773,50.974443,19.011896
240605,Opatów,6818,73.473,50.940049,18.833647
240606,Panki,5039,54.938,50.886109,18.751761
240607,Popów,5874,102.282,51.033352,18.927342
240608,Przystajń,5876,88.787,50.881691,18.685874
240609,Wręczyca Wielka,17774,148.296,50.84237,18.902328
240901,Myszków,31585,73.591,50.574746,19.33676
240902,Koziegłowy,14320,159.632,50.587886,19.178354
240903,Niegowa,5608,87.969,50.650004,19.507201
240904,Poraj,10914,57.062,50.66684,19.227492
240905,Żarki,8453,101.044,50.62929,19.361775
